Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
frameBasLink,0.0546197894899759,0.0400171992132707,0.0213860535740171,0,0,0,316969.950067854,703.319734150714,-109.057225713742,-22.471387868825,868.352136394166,-1.57578146705821,1140.47142610207,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameBasLink.STL,1,1,1,1,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameBasLink.STL,,k.asm-1/k2_asm_1.asm-1/prt0002_39_17_25_95_61_27.prt-1;k.asm-1/k3.prt-2;k.asm-1/k2_asm_1.asm-1/a_21_22_133_95_27.prt-1;Link1_Inside-2/复件 BREP_49_1_30_25^Link1_Inside-1;Link1_Inside-2/复件 J62_14_2^Link1_Inside-1,CordBase,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
frameLink2,0.033634,0.057608,0.059691,0,0,0,370290,758.56,-3.578,100.98,1013.4,-15.577,712.74,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink2.STL,1,1,1,1,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink2.STL,,k.asm-1/k2_asm_1.asm-1/brep_1-109062_1_70_9_17_194_41_.prt-1;k.asm-1/k2_asm_1.asm-1/p3_41_9_6_208_14_13.prt-1;k.asm-1/k1.prt-5;Link2_Inside-2/复件 JT1_40_58^Link2_Inside-1;Link2_Inside-2/复件 J65_2_2^Link2_Inside-1;Link2_Inside-2/复件 J64_2_2^Link2_Inside-1;Link2_Inside-2/复件 J63_2_2^Link2_Inside-1;Link2_Inside-2/复件 J611_1_4^Link2_Inside-1,Cord1,Axis_J1,frameJoint2,revolute,0,0.079,-0.05245,1.5708,0,1.5708,frameBasLink,0,0,1,0,0,0,0,,,,,,,,
frameLink3,0.11225,-3.8077E-08,-0.00068181,0,0,0,169180,43.1,0.00068632,-1.6392E-07,76.68,1.1412E-07,63.459,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink3.STL,1,1,1,1,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink3.STL,,k.asm-1/k1.prt-3;k.asm-1/l7_7_2.prt-1;k.asm-1/k1.prt-1;Shell_Up-2;Shell_Down-1;Body_BodyShell-2/复件 X1_10_1^Body_BodyShell-1;Body_BodyShell-2/复件 X_8_1^Body_BodyShell-1;Motor_Servo-2,Cord2,Axis_J2,frameJoint3,revolute,0.079,0.05245,0,1.5708,1.5708,-3.1416,frameLink2,0,0,1,0,0,0,0,,,,,,,,
frameLink4,0.1342,-0.002438,0.0021761,0,0,0,260290,116.3,21.073,8.6694,868.84,-0.31109,925.73,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink4.STL,1,1,1,1,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink4.STL,,k.asm-1/r1_66_1_7.prt-1;k.asm-1/r2_138_4_16.prt-1;k.asm-1/r3_58_2_6.prt-1;k.asm-1/r4_28_1_2.prt-1;k.asm-1/k1.prt-2;Body_BodyShell_Notch-2/复件 ZU11_17_2^Body_BodyShell_Notch-1;Body_BodyShell_Notch-2/复件 ZU12_29_2^Body_BodyShell_Notch-1;Motor_Servo-7,Cord3,Axis_J3,frameJoint4,revolute,0.2245,0,0,0,0,0,frameLink3,0,0,1,0,0,0,0,,,,,,,,
frameLink5,0.041026,-0.058567,0.020014,0,0,0,333470,947.2,130.5,2.831,729.33,6.1503,1209.2,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink5.STL,1,1,1,1,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink5.STL,,k.asm-1/k1_asm_1.asm-1/a_21_22_164_13.prt-1;k.asm-1/k1_asm_1.asm-1/prt0002_39_17_25_95_8.prt-1;k.asm-1/k3.prt-1;Body_Link5_inside-2,Cord4,Axis_J4,frameJoint5,revolute,0.2245,0,0,0,0,1.5708,frameLink4,0,0,1,0,0,0,0,,,,,,,,
frameLink6,0.033709,-0.057893,-0.060249,0,0,0,384600,800.54,4.4091,-127.29,1071.5,-15.351,747.95,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink6.STL,1,1,1,1,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink6.STL,,k.asm-1/k1_asm_1.asm-1/brep_1-109062_1_70_9_17_194_7.prt-1;k.asm-1/k1_asm_1.asm-1/p3_41_9_6_208_6.prt-1;k.asm-1/k1.prt-4;Body_Link6_inside-2/复件 BREP_72_1_7_15_18^Body_Link6_inside-1;Body_Link6_inside-2/复件 _X2_6309952E_X0__1_1_1^Body_Link6_inside-1;Body_Link6_inside-2/复件 ____1-338302_1_1_1^Body_Link6_inside-1;Body_Link6_inside-2/复件 W4_1_1_1^Body_Link6_inside-1;Body_Link6_inside-2/复件 ASM0001_ASM^Body_Link6_inside-1/W7_1_1^复件 ASM0001_ASM_Body_Link6_inside-1;Body_Link6_inside-2/复件 ASM0001_ASM^Body_Link6_inside-1/W6_1_1^复件 ASM0001_ASM_Body_Link6_inside-1,Cord5,Axis_J5,frameJoint6,revolute,0.079,0,-0.05245,-1.5708,0,0,frameLink5,0,0,1,0,0,0,0,,,,,,,,
frameLink7,0.14739,6.1669E-06,-0.00046903,0,0,0,124220,33.082,0.019902,0.15569,60.249,8.213E-05,50.357,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink7.STL,1,1,1,1,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink7.STL,,k.asm-1/k2.prt-2;k.asm-1/l1_2_66_2.prt-1;k.asm-1/zu6_1_2-132485_3.prt-1;Shell_Up-1;Shell_Down-2;Body_BodyShell-1/复件 X1_10_1^Body_BodyShell-1;Body_BodyShell-1/复件 X_8_1^Body_BodyShell-1;Motor_Servo-1,Cord6,Axis_J6,frameJoint7,revolute,0.079,-0.05245,0,-1.5708,-1.5708,-3.1416,frameLink6,0,0,1,0,0,0,0,,,,,,,,
frameLink8,0.11936,-0.0028798,-5.2537E-05,0,0,0,196750,88.506,22.843,-0.40321,767.94,-0.033011,826.73,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink8.STL,1,1,1,1,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/frameLink8.STL,,k.asm-1/manifold_solid_brep_402995_1.prt-1;k.asm-1/manifold_solid_brep_422065_7.prt-1;k.asm-1/manifold_solid_brep_439905_5.prt-1;k.asm-1/manifold_solid_brep_391995_1.prt-1;k.asm-1/k2.prt-1;Body_BodyShell_Notch-1/复件 ZU11_17_2^Body_BodyShell_Notch-1;Body_BodyShell_Notch-1/复件 ZU12_29_2^Body_BodyShell_Notch-1;Motor_Servo-4,Cord7,Axis_J7,frameJoint8,revolute,0.2245,0,0,0,0,0,frameLink7,0,0,1,0,0,0,0,,,,,,,,
leg1Link1,0.03746,-2.5177E-05,-8.0299E-05,0,0,0,0.11085,3.5819E-05,7.4868E-14,-1.9284E-14,3.5635E-05,1.7271E-09,3.5635E-05,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/leg1Link1.STL,1,1,1,1,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/leg1Link1.STL,,LegandWheel-2/Leg_J1-1/复件 ZU10_20_1^Leg_J1-2;LegandWheel-2/Leg_J1-1/复件 ZU13_21_1^Leg_J1-1;LegandWheel-2/Leg_J1-1/复件 ZU10_20_1^Leg_J1-4;LegandWheel-2/Leg_J1-1/复件 ZU10_20_1^Leg_J1-3;LegandWheel-2/Leg_J1-1/复件 ZU10_20_1^Leg_J1-1,leg1Cord1,leg1Axis1,leg1Joint1,revolute,0.17304,-0.073664,0,0,0,-1.5708,frameLink8,0,0,1,0,0,0,0,,,,,,,,
leg1Link2,0.056725,0.011378,-0.00056886,0,0,0,0.23246,9.9219E-05,-1.3391E-05,-1.029E-07,0.00018835,-2.4985E-07,0.00022289,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/leg1Link2.STL,1,1,1,1,0,0,0,0,0,0,package://crimson_stand_legInit_forSimOnly/meshes/leg1Link2.STL,,LegandWheel-2/Leg_J2-1/复件 ZU8_55_2^Leg_J2-1;LegandWheel-2/Leg_J2-1/复件 ZU9_72_2^Leg_J2-1;LegandWheel-2/Leg_J2-1/复件 ZU6_1_2-132485^Leg_J2-1;LegandWheel-2/Leg_J2-1/复件 ZU6_1_2-132485^Leg_J2-2;LegandWheel-2/Leg_J2-1/复件 PCBMODEL_ASM_3_ASM_1_ASM^Leg_J2-1/COMPOUND-41_8_1^复件 PCBMODEL_ASM_3_ASM_1_ASM_Leg_J2-1,leg1Cord2,leg1Axis2,leg1Joint2,revolute,0.074919,0,0,1.5708,0,0,leg1Link1,0,0,1,0,0,0,0,,,,,,,,
